transaction_id,customer_id,order_date,category,product_name,unit_price,quantity,discount_pct,discount_amount,total_price,payment_method,city,rating,returned,year,month,month_name,day_of_week,quarter,revenue_band
TXN_000001,CUST_00913,2022-01-26,Fashion,Fashion_Product_190,4763.43,2,10,952.69,8574.17,UPI,Hyderabad,1.6,No,2022,1,Jan,Wednesday,1,High (2K-10K)
TXN_000002,CUST_01829,2022-05-23,Electronics,Electronics_Product_189,69361.0,2,15,20808.3,117913.7,Credit Card,Delhi,1.1,No,2022,5,May,Monday,2,Premium (>10K)
TXN_000003,CUST_04838,2023-03-09,Books,Books_Product_9,397.27,1,0,0.0,397.27,Credit Card,Delhi,2.2,No,2023,3,Mar,Thursday,1,Low (<500)
TXN_000004,CUST_01792,2022-08-27,Fashion,Fashion_Product_130,1597.9,2,0,0.0,3195.8,Wallet,Mumbai,2.2,No,2022,8,Aug,Saturday,3,High (2K-10K)
TXN_000005,CUST_04598,2022-07-23,Home & Kitchen,Home & Kitchen_Product_184,11809.86,1,5,590.49,11219.37,Wallet,Kolkata,3.4,Yes,2022,7,Jul,Saturday,3,Premium (>10K)
TXN_000006,CUST_01806,2023-04-05,Home & Kitchen,Home & Kitchen_Product_151,2682.28,1,25,670.57,2011.71,UPI,Mumbai,4.9,No,2023,4,Apr,Wednesday,2,High (2K-10K)
TXN_000007,CUST_01308,2023-12-16,Fashion,Fashion_Product_109,668.83,2,5,66.88,1270.78,UPI,Chennai,1.5,No,2023,12,Dec,Saturday,4,Medium (500-2K)
TXN_000008,CUST_01274,2022-08-09,Electronics,Electronics_Product_196,72790.97,1,10,7279.1,65511.87,UPI,Delhi,2.2,No,2022,8,Aug,Tuesday,3,Premium (>10K)
TXN_000009,CUST_00760,2023-01-25,Home & Kitchen,Home & Kitchen_Product_25,2895.09,5,15,2171.32,12304.13,UPI,Pune,4.8,No,2023,1,Jan,Wednesday,1,Premium (>10K)
TXN_000010,CUST_04946,2022-09-28,Home & Kitchen,Home & Kitchen_Product_12,13839.83,1,0,0.0,13839.83,Net Banking,Delhi,1.2,No,2022,9,Sep,Wednesday,3,Premium (>10K)
TXN_000011,CUST_03101,2022-03-22,Fashion,Fashion_Product_142,1502.48,3,0,0.0,4507.44,UPI,Pune,2.1,No,2022,3,Mar,Tuesday,1,High (2K-10K)
TXN_000012,CUST_04730,2022-07-16,Electronics,Electronics_Product_181,64274.66,1,30,19282.4,44992.26,Credit Card,Mumbai,4.1,No,2022,7,Jul,Saturday,3,Premium (>10K)
TXN_000013,CUST_01867,2022-10-24,Electronics,Electronics_Product_21,65329.18,2,15,19598.75,111059.61,Debit Card,Delhi,4.1,Yes,2022,10,Oct,Monday,4,Premium (>10K)
TXN_000014,CUST_03114,2022-10-12,Fashion,Fashion_Product_117,756.17,3,10,226.85,2041.66,UPI,Bengaluru,2.3,Yes,2022,10,Oct,Wednesday,4,High (2K-10K)
TXN_000015,CUST_03033,2022-12-30,Fashion,Fashion_Product_54,1760.88,2,10,352.18,3169.58,UPI,Delhi,4.5,No,2022,12,Dec,Friday,4,High (2K-10K)
TXN_000016,CUST_04991,2023-10-13,Electronics,Electronics_Product_44,57202.96,2,10,11440.59,102965.33,Wallet,Hyderabad,4.1,No,2023,10,Oct,Friday,4,Premium (>10K)
